EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,36429,Upto 5k,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0.0
RM302,18,18-25,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,37812,Upto 5k,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0.0
RM458,18,18-25,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,44520,Upto 5k,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0.0
RM728,18,18-25,No,Non-Travel,287,Research & Development,5,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single,44748,Upto 5k,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0.0
RM829,18,18-25,Yes,Non-Travel,247,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,30236,Upto 5k,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0.0
RM973,18,18-25,No,Non-Travel,1124,Research & Development,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,47313,Upto 5k,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0.0
RM1154,18,18-25,Yes,Travel_Frequently,544,Sales,3,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single,32731,Upto 5k,18420,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0.0
RM1312,18,18-25,No,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,65494,Upto 5k,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0.0
RM128,19,18-25,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,43598,Upto 5k,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0.0
RM150,19,18-25,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,27096,Upto 5k,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0.0
RM172,19,18-25,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,29176,Upto 5k,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0.0
RM178,19,18-25,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,48416,Upto 5k,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0.0
RM423,19,18-25,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,59530,Upto 5k,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0.0
RM689,19,18-25,Yes,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single,23715,Upto 5k,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0.0
RM854,19,18-25,No,Travel_Rarely,645,Research & Development,9,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single,34705,Upto 5k,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0.0
RM893,19,18-25,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,37205,Upto 5k,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0.0
RM910,19,18-25,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,61124,Upto 5k,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1.0
RM103,20,18-25,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,42675,Upto 5k,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0.0
